id,lat,long,demand(kg),stage
ChIJE1zZSVhFwokRNEzmWhyQfLs,40.631542,-74.0275396,24,3
ChIJiWXDYR1cwokRL82F6r4W_bk,40.7069617,-73.9220991,32,3
ChIJvVFW2YZZwokRca6P_hbHpmY,40.719334,-73.989997,28,3
ChIJJ08I7Tz2wokRe5Z0jqyF3F0,40.8034849,-73.9637498,20,4
ChIJt3h5np_0wokRDVZOBiTbD8I,40.8546357,-73.86647099999999,22,4
ChIJwZmhPYZYwokRgpXtrDKmE0Y,40.7849601,-73.97885889999999,25,4
ChIJT6TbxYX2wokR17y5knj-EHI,40.834537,-73.94528199999999,34,4
ChIJ_dOKbpLzwokRCI1iZONnhBY,40.8734476,-73.908545,18,4
ChIJVVU5FxiLwokRV2NhOK1JnV0,40.8195619,-73.8172086,27,4
ChIJETopIL_zwokRtrOoWqb-sLI,40.8872663,-73.9069201,18,4
ChIJHyi7pQlZwokRanY7lCmfPQ0,40.7417124,-73.980706,26,4
ChIJf9QMl6X0wokRESiH2zECSks,40.8484324,-73.8547956,15,4
ChIJ1XNB_QxdwokR9tozzHdce_A,40.652868,-73.8700672,23,4
ChIJ19r2XwhZwokRu9S4dTw2nV4,40.7434012,-73.9800788,20,4
ChIJp8T6e81awokR4aWMqkUpdsc,40.6402736,-73.99524389999999,19,4
ChIJ489PWQFbwokRVD457i0GA2g,40.6706285,-73.9782323,29,4
ChIJ-2w1db1fwokRRf84gF710ak,40.7582837,-73.87421549999999,15,4
ChIJBU93KjtfwokR9-HyfXPkN6Y,40.7565049,-73.9212489,16,4
ChIJefTurBlfwokRDQWW2f3cz84,40.7523033,-73.9091804,26,4
ChIJ7RuAnjdewokR1Oz5M5SUIEU,40.7289403,-73.86273609999999,32,4
ChIJkTIj34lZwokR-nmGDf9Cn_Q,40.7180658,-73.99926719999999,28,4
ChIJEdfDyr5bwokRV7yHSUveCJE,40.6896589,-73.9652938,26,4
ChIJQempmHZbwokRQO8c2BHgSbE,40.6680676,-73.9532213,31,4
ChIJnS_8aoNZwokRf2ijTTh4prk,40.724785,-73.9876092,33,4
ChIJZ8we6h1fwokR5CyR8wl6Zo0,40.7452587,-73.905525,22,4
ChIJ6d8Uh3liwokRYS_NnocUUI8,40.7543568,-73.7079191,21,4
ChIJNZ2RpldYwokRFkZTMvzLazM,40.7637343,-73.985334,17,4
ChIJqyvyOyJFwokRkEOhzsejjSA,40.6191572,-73.9898611,31,4
ChIJQXjoRE1bwokRhonIlO2Vp_g,40.6323051,-73.94868009999999,16,4
ChIJG5XLtuhgwokRlyuDe8bzlBY,40.7149929,-73.8074354,33,4
ChIJbyQcOLX1wokRcdHesrZEXzo,40.82319390000001,-73.9109307,32,4
ChIJ8S6sKahfwokRwuI1htqtXOI,40.7496361,-73.88890169999999,23,4
ChIJAcvI8aNFwokR66KTXE3TbGk,40.5933801,-74.0012112,31,4
ChIJny4cyUtewokRIpoNIQlGprU,40.7345473,-73.869145,23,4
ChIJS5sK5fxdwokRPLKKCZgMtHk,40.6941018,-73.85139989999999,29,4
ChIJz-AjxCBewokRMpaMLTXBt4Q,40.7114512,-73.8560613,24,4
ChIJwXzlJMJdwokR74zvIDCGVcQ,40.6848482,-73.8674334,23,4
ChIJaVWMrqBEwokRObrAIwv9Asw,40.6145816,-73.9364992,21,4
ChIJEa1sSdlgwokRYlnYzfDC7M8,40.7038,-73.79952,29,4
ChIJtW3GupREwokRowxD7zqpqSg,40.6087765,-73.9586388,28,4
ChIJg03sPoTzwokRZ0bd2e2Tl2s,40.8673314,-73.8965893,20,4
ChIJdzOVw31nwokRPV0r1muSS58,40.6614257,-73.84008949999999,31,4
ChIJNf5KVwBhwokRnID2J0L-ntI,40.7258181,-73.7922776,24,4
ChIJrbsoLXmKwokR7pPDGDDvYdA,40.7699192,-73.7890611,34,4
ChIJPeqGLN5fwokRWqWRd7OxObc,40.7514151,-73.8558978,33,4
ChIJrT-YxVFawokROzsnXO2cOoQ,40.68621479999999,-73.99095369999999,34,4
ChIJIUY1LYpPwokRWOoH7wwXKLk,40.619274,-74.03295,25,4
ChIJUdrWy5bzwokRrqqaID530ss,40.87752150000001,-73.905424,17,4
ChIJ6dvVZ9tYwokRfw7k-xvk53U,40.7593048,-73.95291480000002,31,4
ChIJIahghx5bwokR_RxnzolHbdI,40.6604124,-73.9801356,31,4
ChIJtYfU-ihcwokRENMWIpo_7Y8,40.7003682,-73.8983441,28,4
ChIJj6hGuQJbwokRod_MgPWboUk,40.66681440000001,-73.9818523,31,4
ChIJP2C2h630wokR1woOojXHeDE,40.8440842,-73.8456047,18,4
ChIJccD1RIdZwokRnO2erj2tdag,40.7173063,-73.9898724,19,4
ChIJp8XA4QNZwokRfee54d9ZrOY,40.75034520000001,-73.9770783,21,4
ChIJ8TkuXuFjwokRBX2AiECzqHQ,40.6966269,-73.7430763,34,4
ChIJiVLhXlVawokRV-41TLoMBGU,40.67633439999999,-73.98406829999999,32,4
ChIJN4XzuFLzwokR6T1sISPQaxE,40.8621913,-73.8430846,22,4
ChIJl_dLtCBnwokRMkTJQi7dagg,40.6737196,-73.7958972,30,4
ChIJ5VV4FyJcwokRL6sBtbyxRco,40.6997706,-73.91116579999999,15,4
ChIJM6EO1A9gwokRjFRmP1pEj4A,40.7607803,-73.83044129999999,28,4
ChIJrahUxk1awokRVdW3wqA3PSk,40.6881938,-73.9876371,28,4
ChIJ-14Y8hFawokRAxpOV3qCC0o,40.7064214,-74.0169086,32,4
ChIJWwFFbnL0wokRopbHQ46C37o,40.8536369,-73.908852,29,4
ChIJIxI4qT72wokRVC_P9zYi3wA,40.8071034,-73.9649148,19,4
ChIJpfPZSYZPwokRXgPcFyKYXVk,40.6126728,-74.0335207,28,4
ChIJ6zAR6itowokRbSM46YIy-9o,40.5804599,-73.8379442,32,4
ChIJc06_dHP0wokRIcV7_KutxuY,40.8580795,-73.9121708,22,4
ChIJrQhi1NVjwokRkbn-d1e7t2M,40.71626699999999,-73.74496280000001,22,4
ChIJA-sMEoDzwokRejg56Nt4KEY,40.8605712,-73.8901484,30,4
ChIJqVEEsyJawokRprbbV1yvNBE,40.7089672,-74.0055563,16,4
ChIJk_bqtXRFwokRQ_va0yQSsl8,40.6040522,-74.0067261,34,4
ChIJgyTwaDKLwokRqut7_Zx7ThE,40.8243096,-73.83683719999999,33,4
ChIJ6RiUQ7eMwokRyhhHqH0yGG8,40.8678663,-73.8278447,23,4
ChIJNfETS5ZZwokRJeH4fxx77iI,40.7358437,-73.9977032,28,4
ChIJkW2Qxp_0wokRh5wioK7G_js,40.8560871,-73.86739829999999,30,4
ChIJC085Xl9mwokRg0iipTP2kTA,40.646194,-73.77580499999999,32,4
ChIJ_bznMKFYwokRfmZ8NGzUzDE,40.7871537,-73.9544554,28,4
ChIJkZXyZw5ewokR8GtgdOCGuy0,40.708282,-73.869033,27,4
ChIJ5dA_u0NDwokRDANvVBCUNPc,40.61000629999999,-73.9208666,16,4
ChIJ34uYGnVbwokRv-kZPvMaKw0,40.67110599999999,-73.9576505,31,4
ChIJSy-iuE9awokRtWLkrhGTjkg,40.688533,-73.992695,21,4
ChIJ9deo9K9ZwokRBVZ4XIIK5oM,40.7469717,-73.9932572,19,4
ChIJsQODKt9ewokRUC_9IL1F9gw,40.743426,-73.918329,30,4
ChIJeyzuSZVYwokRkVP6JPdmdJI,40.7720559,-73.9608536,24,4
ChIJ2b5lOK5EwokR6a3YEe61AiI,40.6245302,-73.9462996,28,4
ChIJEW6P5EJDwokRmLw7Ke_chn0,40.6101609,-73.922262,30,4
ChIJM-u0e7GKwokRZcp5_eyUuTY,40.7868183,-73.83595439999999,28,4
ChIJ8czgdvtawokRvKWNhkb3TH4,40.669637,-73.989767,19,4
ChIJ1xNe4cxbwokRnDw-6Rvhxng,40.702755,-73.9812884,20,4
ChIJMUkOETdbwokRAmjoHlECnK0,40.6418809,-73.9633432,27,4
ChIJ__vXpar7ZUARpOkozaTYV2c,40.6951431,-73.9960558,25,4
ChIJE8REQO6JwokR1iYnpA4RLgg,40.772414,-73.73430909999999,25,4
ChIJBcI-MKRgwokRMFDDVkAfqi4,40.707507,-73.83516999999999,31,4
ChIJDduMtyFbwokRiM6SnofOtgE,40.65444,-73.979295,33,4
ChIJpdXYmLtcwokRO88DV4ikd-g,40.610332,-73.91931,33,4
ChIJ7cV5da5awokRtlHXgytbQ7M,40.6465803,-74.0197124,23,4
ChIJywk2rk9hwokR7YWhekvNfgk,40.69204089999999,-73.7620104,32,4
ChIJdTjwaaFbwokRn7WZXdx_fR8,40.677331,-73.96396399999999,18,4
ChIJpaGixA_zwokRbRj_b-37Qvg,40.8865149,-73.8780858,27,4
ChIJd0jZvMBgwokRt9UGSBKfyXM,40.7078826,-73.8174404,16,4
ChIJ7_c8yY5ZwokRKIArrMkYHmk,40.7189965,-74.0018072,15,4
ChIJSRE6jfpEwokR0A4A6L0uCHc,40.6032788,-73.97260519999999,29,4
ChIJJYi2sUBZwokRfsq_XXpGvQw,40.7305387,-73.95411829999999,15,4
ChIJwSBKWiVewokRYm68DSLf5tk,40.726218,-73.8527369,20,4
ChIJi5-g-5VZwokRxp6Ytx_8D88,40.7372523,-74.0016971,26,4
ChIJ3x9eV6WKwokR_cY36CC8PWU,40.7819882,-73.82983660000001,33,4
ChIJ4zcgExtawokReB1LKvKoVi0,40.710873,-74.01539,29,4
ChIJFzqpeFJewokRw_rLngm1Wjs,40.7372233,-73.8772098,25,4
ChIJqxFtW5JmwokRT35JxRT7BVU,40.65681,-73.7677822,34,4
ChIJi-ji8Kz0wokRFO5Z7M1lUck,40.8472233,-73.8444991,15,4
ChIJQRY08qhbwokRke2RxC_TMmw,40.6775103,-73.973011,24,4
ChIJdZ_Q6F1EwokR_N8wFMX7W3o,40.587855,-73.9607051,29,4
ChIJReQHww5FwokRGlFWAkn4opg,40.6050362,-73.9985367,33,4
ChIJQwtmq3v2wokRNOjx5cEBhXg,40.8213093,-73.9445339,25,4
ChIJt2vTu1lawokRfVV3pBzItgU,40.6811876,-73.9966204,21,4
ChIJX9DK2EBEwokRM9kDwjBVtag,40.5768277,-73.9642424,32,4
ChIJmZKM98dgwokRZ6ZvctE2ImQ,40.7025192,-73.81857219999999,16,4
ChIJ3wsoxKFZwokRRg8OvEjE0bc,40.7367162,-73.9868169,19,4
ChIJQRpR6Jj0wokRl9myJ19eEvU,40.8508043,-73.8674501,28,4
ChIJQYmJtx5awokR45_sopkXVNE,40.71513729999999,-74.0110881,32,4
ChIJh4MG8h9awokR1kDLslu2C3E,40.7182489,-74.00734589999999,33,4
ChIJbdnGmlxewokRobPWHJXQVjM,40.7252041,-73.8796078,33,4
